"Outlet";"CT";"Transaction Time";"Amount";"Credits";"Action";"Description"
"11-0010";"750612";"10.03.2022 13:16:36";"-4,00";"206,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:39";"0";"206,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:39";"-4,00";"202,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:40";"0";"202,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:40";"-4,00";"198,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:43";"0";"198,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:43";"-4,00";"194,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:45";"0";"194,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:46";"-4,00";"190,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:46";"0";"190,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:47";"-4,00";"186,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:48";"0";"186,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:48";"-4,00";"182,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:50";"0";"182,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:51";"-4,00";"178,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:53";"0";"178,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:54";"-4,00";"174,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:54";"0";"174,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:55";"-4,00";"170,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:57";"0";"170,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:57";"-4,00";"166,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:58";"0";"166,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:58";"-4,00";"162,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:59";"0";"162,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:16:59";"-4,00";"158,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:00";"0";"158,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:00";"-4,00";"154,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:01";"0";"154,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:01";"-4,00";"150,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:04";"0";"150,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:04";"-4,00";"146,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:05";"0";"146,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:05";"-4,00";"142,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:08";"136,00";"278,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:09";"-4,00";"274,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:09";"0";"274,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:09";"-4,00";"270,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:10";"0";"270,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:11";"-4,00";"266,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:11";"0";"266,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:12";"-4,00";"262,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:12";"0";"262,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:13";"-4,00";"258,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:13";"0";"258,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:14";"-4,00";"254,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:14";"0";"254,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:14";"-4,00";"250,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:15";"0";"250,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:15";"-4,00";"246,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:16";"0";"246,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:16";"-4,00";"242,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:17";"0";"242,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:17";"-4,00";"238,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:18";"0";"238,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:18";"-4,00";"234,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:19";"0";"234,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:19";"-4,00";"230,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:20";"0";"230,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:21";"-4,00";"226,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:21";"0";"226,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:22";"-4,00";"222,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:25";"0";"222,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:25";"-4,00";"218,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:28";"0";"218,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:28";"-4,00";"214,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:32";"12,00";"226,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:33";"-4,00";"222,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:35";"0";"222,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:35";"-4,00";"218,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:36";"0";"218,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:37";"-4,00";"214,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:38";"0";"214,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:38";"-4,00";"210,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:39";"0";"210,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:39";"-4,00";"206,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:39";"0";"206,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:40";"-4,00";"202,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:41";"0";"202,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:41";"-4,00";"198,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:42";"0";"198,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:42";"-4,00";"194,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:43";"0";"194,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:43";"-4,00";"190,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:44";"0";"190,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:44";"-4,00";"186,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:47";"8,00";"194,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:47";"-4,00";"190,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:48";"0";"190,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:48";"-4,00";"186,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:49";"0";"186,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:50";"-4,00";"182,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:50";"0";"182,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:51";"-4,00";"178,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:51";"0";"178,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:52";"-4,00";"174,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:52";"0";"174,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:53";"-4,00";"170,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:55";"0";"170,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:56";"-4,00";"166,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:58";"0";"166,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:58";"-4,00";"162,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:59";"0";"162,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:17:59";"-4,00";"158,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:00";"0";"158,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:01";"-4,00";"154,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:02";"0";"154,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:02";"-4,00";"150,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:02";"0";"150,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:03";"-4,00";"146,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:05";"52,00";"198,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:06";"-4,00";"194,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:06";"0";"194,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:06";"-4,00";"190,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:07";"0";"190,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:08";"-4,00";"186,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:08";"0";"186,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:09";"-4,00";"182,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:09";"0";"182,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:10";"-4,00";"178,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:10";"0";"178,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:11";"-4,00";"174,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:11";"0";"174,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:12";"-4,00";"170,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:14";"0";"170,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:25";"-2,00";"168,00";"Game-Start";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:28";"0";"168,00";"Game-End";"Game: PlentyOnTwentyHot"
"11-0010";"750612";"10.03.2022 13:18:51";"-2,50";"165,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:18:52";"0";"165,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:18:53";"-2,50";"163,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:18:54";"0";"163,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:18:54";"-2,50";"160,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:18:56";"0";"160,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:18:56";"-2,50";"158,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:18:58";"0";"158,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:18:59";"-2,50";"155,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:01";"0";"155,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:01";"-2,50";"153,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:03";"0";"153,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:04";"-2,50";"150,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:05";"0";"150,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:05";"-2,50";"148,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:06";"0";"148,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:06";"-2,50";"145,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:07";"0";"145,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:07";"-2,50";"143,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:09";"0";"143,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:10";"-2,50";"140,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:12";"0";"140,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:12";"-2,50";"138,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:13";"0";"138,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:13";"-2,50";"135,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:17";"2,50";"138,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:18";"-2,50";"135,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:20";"0";"135,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:21";"-2,50";"133,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:22";"0";"133,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:22";"-2,50";"130,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:23";"0";"130,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:23";"-2,50";"128,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:24";"0";"128,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:24";"-2,50";"125,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:26";"0";"125,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:27";"-2,50";"123,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:29";"0";"123,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:29";"-2,50";"120,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:31";"0";"120,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:32";"-2,50";"118,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:34";"0";"118,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:34";"-2,50";"115,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:35";"0";"115,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:35";"-2,50";"113,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:36";"0";"113,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:36";"-2,50";"110,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:37";"0";"110,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:37";"-2,50";"108,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:38";"0";"108,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:38";"-2,50";"105,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:39";"0";"105,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:39";"-2,50";"103,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:41";"0";"103,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:42";"-2,50";"100,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:44";"0";"100,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:44";"-2,50";"98,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:46";"0";"98,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:46";"-2,50";"95,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:49";"0";"95,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:49";"-2,50";"93,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:51";"0";"93,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:51";"-2,50";"90,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:52";"0";"90,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:53";"-2,50";"88,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:53";"0";"88,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:54";"-2,50";"85,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:54";"0";"85,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:55";"-2,50";"83,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:55";"0";"83,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:56";"-2,50";"80,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:56";"0";"80,50";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:57";"-2,50";"78,00";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:59";"0";"78,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:19:59";"-2,50";"75,50";"Game-Start";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:20:01";"2,50";"78,00";"Game-End";"Game: Book of Ra Deluxe"
"11-0010";"750612";"10.03.2022 13:20:02";"-2,50";"75,50";"Game-Start";"Game: Book of Ra Deluxe"
